DATE,VELOCITY,TOTAL SPIN,TRUE SPIN,SPIN EFF.,SPIN DIR.,H. BREAK,V. BREAK,STRIKE,R. HEIGHT,R. SIDE,R. ANGLE,H. ANGLE,GYRO,PITCH TYPE
2/7/2020,81,2499,868,34.7,10:26,-5.8,4.8,Y,5,0.8,0.6,-1.1,69.7,SL 
2/7/2020,90.6,2237,2223,99.4,01:06,10.7,16.5,N,5.2,0.6,-0.4,-0.4,6.5,FB 
2/7/2020,90.8,2395,2384,99.5,01:08,11.3,16.5,N,5.2,0.7,-1.2,-0.9,5.5,FB 
2/7/2020,90.7,2264,2214,97.8,00:46,7.7,17.4,Y,5.1,0.7,-1.2,-2,12.1,FB 
2/7/2020,83.3,2535,909,35.9,11:30,-1.6,7,N,5,1,-1.3,-1.2,69,FB 
2/7/2020,92.3,2354,2333,99.1,01:08,10.6,15.9,N,5.3,0.8,0.2,-0.6,7.6,FB 
2/7/2020,89.2,2407,2392,99.4,01:08,11.2,16.5,N,5.3,0.7,-0.4,0,-6.5,FB 
2/7/2020,91,2443,2434,99.7,01:08,11.3,16.7,Y,5.3,0.7,-2.8,-1.6,-4.7,FB 
2/7/2020,91.7,2400,2396,99.8,01:10,11.6,16.5,N,5.2,0.8,-0.1,-2,3.5,FB 
2/7/2020,91.3,2452,2446,99.8,00:52,8.7,18,N,5.2,0.7,-2,-1,-4,FB 
2/7/2020,91,-,-,-,-,-,-,N,-,-,-,-,-,FB 
2/7/2020,83,2045,1903,93.1,01:20,11.8,13.4,N,5,0.9,-2.6,-2.1,21.4,CH 
2/7/2020,90.6,-,-,-,-,-,-,N,-,-,-,-,-,FB 
2/7/2020,78.4,2465,807,32.7,08:46,-6.6,-0.8,N,4.9,0.9,-1.3,-0.3,70.9,SL 
2/7/2020,90.3,2436,2403,98.7,01:00,10.3,17.3,N,5.3,0.8,-2.5,-0.7,9.4,FB 
2/7/2020,90.7,2436,2436,100,01:00,10.6,18.3,Y,5.4,0.8,-2,-1.5,-0.8,FB 
1/31/2020,80.2,2289,852,37.2,10:20,-6.1,4.7,Y,4.9,1.1,0.5,-1.1,68.1,FB 
1/31/2020,90.6,2290,2268,99,01:08,11.2,16.1,Y,5.2,1.2,-2.5,-1.4,8,FB 
1/31/2020,81.5,-,-,-,-,-,-,N,-,-,-,-,-,CH 
1/31/2020,91.3,2444,2434,99.6,01:00,10,17,Y,5.2,1,-2,-2.5,5,FB 
1/31/2020,83.2,2051,1975,96.3,01:46,15.1,11.1,N,4.9,1.1,-2.6,-3.3,15.7,CH 
1/31/2020,89.2,-,-,-,-,-,-,N,-,-,-,-,-,FB 
1/31/2020,89.6,2367,2201,93,00:52,8.5,16.4,N,5.3,1,-1.4,-2.6,21.6,FB 
1/31/2020,81.3,2362,832,35.2,11:24,-2.4,6.6,Y,5,1.4,0,-1.6,69.4,SL 
1/31/2020,88.4,2380,2357,99,01:02,10.7,17.3,N,5.2,0.9,-2.5,-2.9,7.9,FB 
1/31/2020,91.3,2429,2398,98.7,01:04,10.9,16.8,N,5.3,0.9,-3.6,-3,9.2,FB 
1/31/2020,90.6,2446,2434,99.5,01:08,11.4,16.3,N,5.1,1,-3.9,-2.9,5.7,FB 
1/31/2020,91.3,2446,2429,99.3,01:10,11.5,16.2,N,5.1,0.9,-4.2,-3.7,6.8,FB 
1/24/2020,89.6,2590,2362,91.2,00:46,7.9,17,Y,5,0.3,-2.6,-2,24.2,FB 
1/24/2020,80.3,2512,970,38.6,10:42,-6.1,6.4,N,4.8,0.5,2.4,-0.3,67.3,SL 
1/24/2020,90.7,2490,2451,98.4,00:44,7.6,18.4,Y,5.1,0.1,-1.2,-0.2,10.1,FB 
1/24/2020,80.9,2340,858,36.7,10:16,-6.1,4.6,N,4.8,0.5,0,-1.1,68.5,SL 
1/24/2020,90.3,-,-,-,-,-,-,N,-,-,-,-,-,FB 
1/24/2020,81.3,2329,1033,44.4,11:34,-2.5,9.3,N,4.8,0.7,1.4,0.2,63.7,SL 
1/24/2020,90.2,2437,2418,99.2,01:04,11.1,17.4,N,5.1,0.4,-2.3,0,7.3,FB 
1/24/2020,83.1,1982,1782,89.9,01:14,10.8,13.8,N,5,0.5,-0.8,-0.3,26,CH 
1/24/2020,90.3,2475,2465,99.6,00:52,8.6,18,N,5.1,0.2,-2.1,-0.1,-5.1,FB 
1/24/2020,91,2514,2498,99.4,00:46,7.8,19.2,N,5.1,0.4,-4.5,-0.5,-6.4,FB 
1/24/2020,90.8,2335,2274,97.4,00:42,7.1,17.8,N,5.1,0.4,-2,0.1,13.1,FB 
1/24/2020,82.8,2063,1952,94.6,01:20,11.6,13.7,N,4.9,0.5,0,-1.1,18.9,CH 
1/24/2020,90.1,2492,2443,98,01:10,12.1,16.8,N,5.1,0.5,-2.6,-0.3,11.4,FB 
1/24/2020,79.9,2377,1021,42.9,10:20,-7.8,6,N,4.8,0.5,2.4,0.2,64.6,SL 
1/24/2020,90.1,2494,2471,99.1,01:04,10.7,17,N,5.2,0.3,-1,-0.4,7.9,FB 
1/24/2020,81.4,2411,891,37,10:46,-4.8,6.6,Y,5,0.5,0.1,0.6,68.3,SL 
1/24/2020,90.9,2459,2432,98.9,01:06,10.7,16.8,N,5.3,0.2,-0.5,0.4,8.4,FB 
1/24/2020,90,-,-,-,-,-,-,N,-,-,-,-,-,FB 
1/24/2020,90.4,-,-,-,-,-,-,N,-,-,-,-,-,FB 
1/17/2020,91.1,-,-,-,-,-,-,N,-,-,-,-,-,FB 
1/17/2020,90.9,2382,2378,99.8,00:52,8.7,18.3,Y,5.2,0.6,-2.2,-1,-3.4,FB 
1/17/2020,91,2462,2433,98.8,00:44,8,19.3,N,5.3,0.6,-1.9,-2.7,8.7,FB 
1/17/2020,90.7,2570,2530,98.4,01:02,10.6,18,Y,5.3,0.6,-1.9,-2,-10.1,FB 
1/17/2020,89.9,-,-,-,-,-,-,N,-,-,-,-,-,FB 
1/17/2020,90.5,2549,2545,99.8,01:08,11.8,17.6,N,5.2,0.9,-2.6,-0.7,-3.5,FB 
1/17/2020,90.7,-,-,-,-,-,-,N,-,-,-,-,-,FB 
1/17/2020,90,2516,2489,98.9,01:06,11.6,17.6,N,5.4,0.5,-0.6,-0.9,-8.4,FB 
1/17/2020,91.1,2553,2549,99.9,00:52,9.2,18.9,N,5.3,0.7,-3.2,-0.6,-3.1,FB 
1/17/2020,90.7,-,-,-,-,-,-,N,-,-,-,-,-,FB 
11/1/2019,73.8,2901,2583,89,06:56,-9.9,-17.8,N,5.2,1,1.9,1.5,27.1,CV 
11/1/2019,76.8,-,-,-,-,-,-,N,-,-,-,-,-,CV 
11/1/2019,76.6,-,-,-,-,-,-,Y,-,-,-,-,-,CV 
11/1/2019,77.8,-,-,-,-,-,-,N,-,-,-,-,-,CV 
11/1/2019,89.2,2415,2401,99.4,00:36,6.2,18.5,N,5.4,1,-1.7,-0.3,-6.3,FB 
11/1/2019,90.5,-,-,-,-,-,-,N,-,-,-,-,-,FB 
11/1/2019,92,-,-,-,-,-,-,Y,-,-,-,-,-,FB 
11/1/2019,90.8,-,-,-,-,-,-,N,-,-,-,-,-,FB 
11/1/2019,90.7,2407,1884,78.3,01:28,11.6,10,N,5.3,0.8,-5.2,-2.4,38.5,FB 
11/1/2019,72.7,-,-,-,-,-,-,N,-,-,-,-,-,CV 
11/1/2019,73.6,-,-,-,-,-,-,N,-,-,-,-,-,CV 
11/1/2019,75.1,2503,2202,88,07:42,-15.1,-11.8,N,5.1,1.1,1.4,0.4,28.4,CV 
11/1/2019,74.4,2522,2027,80.4,07:00,-8.8,-14.7,N,5.1,1.1,0.6,1.3,36.5,CV 
11/1/2019,76.1,-,-,-,-,-,-,N,-,-,-,-,-,SL 
11/1/2019,77.8,-,-,-,-,-,-,N,-,-,-,-,-,SL 
